"","id","label","value"
"1","v160501","1. FTF/CASI","1"
"2","v160501","2. Web","2"
"3","v160502","0. Pre interview completed- no completed Post interview","0"
"4","v160502","1. Pre and Post interviews completed","1"
"5","v161001","1. Continue","1"
"6","v161001","7. Refuse to allow audio recording","7"
"7","v161001","-1. Inap, Web mode","-1"
"8","v161002","1. Male","1"
"9","v161002","2. Female","2"
"10","v161002","-1. Inap, Web mode","-1"
"11","v161517","1. Not at all easy","1"
"12","v161517","2. A little easy","2"
"13","v161517","3. Moderately easy","3"
"14","v161517","4. Very easy","4"
"15","v161517","5. Extremely easy","5"
"16","v161517","-9. Refused","-9"
"17","v161517","-5. Interview breakoff (sufficient partial IW)","-5"
"18","v161517","-1. INAP, FTF mode","-1"
"19","v161518","1. Good","1"
"20","v161518","2. Bad","2"
"21","v161518","3. Neither good nor bad","3"
"22","v161518","-9. Refused","-9"
"23","v161518","-1. INAP, Web mode","-1"
"24","v161519","1. Extremely","1"
"25","v161519","2. Moderately","2"
"26","v161519","3. A little","3"
"27","v161519","-1. INAP, 3,-9 in V161518/ Web mode","-1"
"28","v161520","1. Liked","1"
"29","v161520","2. Disliked","2"
"30","v161520","3. Neither liked nor disliked","3"
"31","v161520","-9. Refused","-9"
"32","v161520","-1. INAP, Web mode","-1"
"33","v161521","1. A little","1"
"34","v161521","2. A moderate amount","2"
"35","v161521","3. A great deal","3"
"36","v161521","-9. Refused","-9"
"37","v161521","-1. INAP, 3,-9 in V161520/ Web mode","-1"
"38","v161523","-5. Interview breakoff (sufficient partial IW)","-5"
"39","v161523","-3. Restricted access, not available, protection of respondent anonymity","-3"
"40","v161523","-1. INAP, FTF mode","-1"
"41","v162001","1. Continue","1"
"42","v162001","7. Refuse to allow audio recording","7"
"43","v162001","-7. No post data, deleted due to incomplete IW","-7"
"44","v162001","-6. No post-election interview","-6"
"45","v162001","-1. Inap","-1"
"48","v164001a","-1. INAP, FTF mode","-1"
"71","v164001b","-1. INAP, FTF mode","-1"
"111","v164001c","-1. INAP, FTF mode","-1"
"131","v164001d","-1. INAP, FTF mode","-1"
"310","v165001a","-7. No Post, deleted due to insufficient partial","-7"
