Number,Name
CASEID,
vversion,Process.1. NES VERSION NUMBER OF DATA
vdsetno,Process.2. NES DATASET NUMBER
vicpsrno,Process.2a. ICPSR ARCHIVE NUMBER 3131
v000001,Process.4. Case ID
v000001a,Process.4a. Post ID
v000002,Process.5. Sample weight
v000002a,Process.5a. Post weight
v000003,Process.6. Pre only or Pre-and-Post
v000004,Pre.Admin.1. Mode of Pre IW
v000005a,Pre.Admin.2a. Form - E section
v000005b,Pre.Admin.2b. Form - F6-F9 half sample
v000005c,Pre.Admin.2c. Form - Q1-Q11 or Q14-15
v000005d,Pre.Admin.2d. Form - G section lib-con
v000005e,Pre.Admin.2e. Form - H1 or H1.E
v000005f,Pre.Admin.2f. Form - H2 or H2.E
v000005g,Pre.Admin.2g. Form - H4 or H4.E
v000005h,Pre.Admin.2h. Form - H11 or H11.E
v000005j,Pre.Admin.2j. Form - H12 or H12.E
v000005k,Pre.Admin.2k. Form - L3 medical insur.
v000005m,Pre.Admin.2m. Form - L6 or L6.E
v000005n,Pre.Admin.2n. Form - M4 env vs. jobs
v000005p,Pre.Admin.2p. Form - N1 or N1.E
v000005q,Pre.Admin.2q. Form - P1 women's role
v000006,Pre.Admin.3. Month of IW
v000007,Pre.Admin.4. Day of IW
v000008,Pre.Admin.5. Month and day (MMDD)
v000009,Pre.Admin.6. No. days after election
v000010,Pre.Admin.7. IW length
v000011,Pre.Admin.8. IW number
v000012,Pre.Admin.9. Date of beginning VQ file
v000013,Pre.Admin.10. Date of ending VQ file
v000014,Pre.Admin.11. Flag- change in VQ
v000015,Pre.Admin.12. Advance letter sent?
v000016,Pre.Admin.13. Payment amount
v000017,Pre.Admin.14. Payment mode
v000018,Pre.Admin.15. Payment date
v000019,Pre.Admin.16. Tape recorded?
v000020,Pre.Admin.17. Verification
v000021,Pre.Admin.18. Evaluation
v000022,Pre.Admin.19. Conversion indicator
v000023,Pre.Admin.20. Persuasion letter
v000024,Pre.Admin.21. Date per letter requested
v000025,Pre.Admin.22. Date persuasion sent
v000026,Pre.Admin.23. Type of persuasion letter
v000027,Pre.Admin.24. Telephone calls
v000028,Pre.Admin.25. FTF calls
v000029,Pre.Admin.26. Final result
v000030,Pre.Admin.27. Sample release (all 1)
v000031,Pre.Admin.28. Lang of IW (all English)
v000032,Pre.CSheet.1. Flag- missing CS
v000033,Pre.CSheet.2. Color of coversheet
v000034,Pre.CSheet.3. PH- type phone #
v000035,Pre.CSheet.4. PH- business with residenc
v000036,Pre.CSheet.5. PH- bus res has personal#
v000037,Pre.CSheet.6. FTF- HH listing from
v000038,Pre.CSheet.7. Selection table
v000039,Pre.CSheet.8. Number of elig adults
v000040,Pre.CSheet.9. Number inelig adults
v000041,Pre.CSheet.10. Household composition
v000042,Pre.CSheet.11. R person number
v000043,Pre.CSheet.12. FTF- type structure
v000044,Pre.CSheet.13. FTF- gatekeeper
v000045,Pre.CSheet.14. FTF- type gatekeeper
v000046,Pre.CSheet.15. Resistance from contact?
v000047,Pre.CSheet.16. Contact resist-waste time
v000048,Pre.CSheet.17. Contact resist-too person
v000049,Pre.CSheet.18. Contact resist-confidenti
v000050,Pre.CSheet.19. Contact resist-not intere
v000051,Pre.CSheet.20. Contact resist-too busy
v000052,Pre.CSheet.21. Contact resist-health
v000053,Pre.CSheet.22. Contact resist-other
v000054,Pre.CSheet.23. R refuse initially?
v000055,Pre.CSheet.24. R break appointments
v000056,Pre.CSheet.25. Was R contact resister?
v000057,Pre.CSheet.26. SUMMARY: did R resist
v000058,Pre.CSheet.27. R resist-waste time
v000059,Pre.CSheet.28. R resist-too personal
v000060,Pre.CSheet.29. R resist-confidentiality
v000061,Pre.CSheet.30. R resist-not interested i
v000062,Pre.CSheet.31. R resist-too busy
v000063,Pre.CSheet.32. R resist-health
v000064,Pre.CSheet.33. R resist-other
v000065,Pre.CSheet.34. IWR est income (CSMS)
v000066,Pre.CSheet.35. IWR est race (CSMS)
v000067,Pre.CSheet.36. Certainty of race (CSMS)
v000068,Pre.CSheet.37. Hispanic HH? (CSMS)
v000069,Pre.CSheet.38. Certainty if Hisp (CSMS)
v000070,Pre.IWR.1. Interviewer of record
v000071,Pre.IWR.2. Supervisor
v000072,Pre.IWR.3. Interviewer gender
v000073,Pre.IWR.4. Interviewer education
v000074,Pre.IWR.5. Interviewer race
v000075,Pre.IWR.6. Interviewer ethnicity
v000076,Pre.IWR.7. Interviewer languages
v000077,Pre.IWR.8. Yrs Interviewer experience
v000078,Pre.IWR.9. Interviewer age (bracketed)
v000079,Pre.Sample.1. ICPSR state code
v000080,Pre.Sample.2. FIPS state code
v000081,Pre.Sample.3. 2000 state abbr and CD
v000082,Pre.Sample.4. 2000 FIPS state and CD
v000083,Pre.Sample.5. Congressional district no.
v000084,Pre.Sample.6. ICPSR state and CD
v000085,Pre.Sample.7. Did R vote outside IW CD?
v000086,Pre.Sample.8. State/CD -vote outside CD
v000087,Pre.Sample.9. FIPS state and county
v000087a,Pre.Sample.9a. County (alpha)
v000088,Pre.Sample.10. Primary area name
v000089,Pre.Sample.11. Primary area code
v000090,Pre.Sample.12. Segment number (blanked)
v000090a,Pre.Sample.13. Segment name (blanked)
v000091,Pre.Sample.14. Number of HH units
v000092,Pre.Sample.15. Census region
v000093,Pre.Sample.16. Belt code
v000094,Pre.Sample.17. Population in 1000s
v000095,Pre.Sample.18. Census size of place
v000096,Pre.Sample.19. Census tract/ed indicator
v000097,Pre.Sample.20. 2000 Sampling Error code
v000097a,Sampling Error Stratum Code
v000097b,Sampling Error Half-Sample Code
v000098,Pre.Sample.21. 2000 Census NECMA/SMSA
v000099,Pre.Sample.22. 2000 CMSA
v000100,Pre.Sample.23. 2000 Census Tract 1
v000101,Pre.Sample.24. 2000 Census Tract 2
v000102,Pre.Sample.25. 2000 Block 1
v000103,Pre.Sample.26. 2000 Block 2
v000104,Pre.Sample.27. 2000 MCD
v000105,Pre.Sample.28. 2000 CDP
v000106,Pre.Sample.29. 2000 FIPS place code
v000107,Pre.Summary.1. Pre timing - section A
v000108,Pre.Summary.2. Pre timing - section B
v000109,Pre.Summary.3. Pre timing - section C
v000110,Pre.Summary.4. Pre timing - section D
v000111,Pre.Summary.5. Pre timing - section E
v000112,Pre.Summary.6. Pre timing - section F
v000113,Pre.Summary.7. Pre timing - section G
v000114,Pre.Summary.8. Pre timing - section H
v000115,Pre.Summary.9. Pre timing - section K
v000116,Pre.Summary.10. Pre timing - section L
v000117,Pre.Summary.11. Pre timing - section M
v000118,Pre.Summary.12. Pre timing - section N
v000119,Pre.Summary.13. Pre timing - section P
v000120,Pre.Summary.14. Pre timing - section Q
v000121,Pre.Summary.15. Pre timing - section R
v000122,Pre.Summary.16. Pre timing - section S
v000123,Pre.Summary.17. Pre timing - section X
v000124,Pre.Summary.18. Pre timing - section Y
v000125,Pre.Summary.19. Pre timing - section Z
v000126,Post.Admin.1. Mode of Interview
v000126a,Post.Admin.1a. Mode switch flag
v000127a,Post.Admin.2a. Form desc 1 - H in Post
v000127b,Post.Admin.2b. Form desc 2 - K format
v000128,Post.Admin.3. Mo. IW
v000129,Post.Admin.4. Day IW
v000130,Post.Admin.5. Month and day (MMDD)
v000131,Post.Admin.6. No. days after election
v000132,Post.Admin.7. IW bef/aft Gore concession
v000133,Post.Admin.8. IW length
v000134,Post.Admin.9. IW no.
v000135,Post.Admin.10. Date of beg VQ file
v000136,Post.Admin.11. Date of end VQ file
v000137,Post.Admin.12. Flag- change in VQ
v000138,Post.Admin.13. Release
v000139,Post.Admin.14. Payment amt
v000139a,Post.Admin.14a. Interviewer incentive
v000140,Post.Admin.15. Payment mode
v000141,Post.Admin.16. Payment date
v000142,Post.Admin.17. Tape recorded
v000143,Post.Admin.18. Verification
v000144,Post.Admin.19. Evaluation
v000145,Post.Admin.20. Conversion ind.
v000146,Post.Admin.21. Persuasion letter
v000147,Post.Admin.22. Date requested
v000148,Post.Admin.23. Date sent
v000149,Post.Admin.24. Type letter
v000150,Post.Admin.25. Tel calls
v000151,Post.Admin.26. FTF calls
v000152,Post.Admin.27. Final result
v000153,Post.Admin.28. Result date (NI)
v000154,Post.Admin. 29. Flag - mode switch
v000155,Post.Admin.30. Lang of IW (all English)
v000156,Post.CSheet.1. Flag- missing CS
v000157,Post.CSheet.2. Color of coversheet
