,id,label,value
1,v000003,Pre-Election and Post-Election interv,0
2,v000003,Pre-Election Interview only,1
3,v000004,Personal (FTF),1
4,v000004,Telephone,5
5,v000005a,Section E not administered in Pre (Po,0
6,v000005a,Section E administered in Pre (V00039,1
7,v000005b,R not selected for F6-F9 Pre administ,0
8,v000005b,R selected for F6-F9 Pre administrati,1
9,v000005c,Q1-Q11 asked in Pre (Clinton retrospe,1
10,v000005c,Q14-Q15 sections asked in Pre (Clinto,2
11,v000005d,Standard format G1-G5/G1.T-G5.T (FTF/,1
12,v000005d,Experimental format G6.E-G10.E (FTF,2
13,v000005e,Standard format H1 (V000488a),1
14,v000005e,Experimental format H1.E (V000488b),2
15,v000005f,Standard format H1 (V000492a),1
16,v000005f,Experimental format H1.E (V000492b),2
17,v000005g,Standard format H4 (V000496a),1
18,v000005g,Experimental format H4.E (V000496b),2
19,v000005h,Standard format H11 (V000511a),1
20,v000005h,Experimental format H11.E (V000511b),2
21,v000005j,Standard format H12 (V000513a),1
22,v000005j,Experimental format H12.E (V000513b),2
23,v000005k,FTF Standard L3a/ Phone Version 1 L3a,1
24,v000005k,FTF Experimental L3a.E/ Phone Version,2
25,v000005m,Standard format L6 (V000671a),1
26,v000005m,Experimental format L6.E (V000671b),2
27,v000005n,FTF Standard M4a/ Phone Version 1 M4a,1
28,v000005n,FTF Experimental M4a.E/ Phone Version,2
29,v000005p,Standard format N1 (V000741a),1
30,v000005p,Experimental format N1.E (V000741b),2
31,v000005q,FTF Standard P1a / Phone Version 1 P1,1
32,v000005q,FTF Experimental P1a.E/Phone Version,2
33,v000006,September,9
34,v000006,October,10
35,v000006,November,11
36,v000012,VQ dated 8/15,0
37,v000012,VQ dated 8/30,1
38,v000012,VQ dated 9/5,2
39,v000012,VQ dated 9/6,3
40,v000012,VQ dated 9/8,4
41,v000012,VQ dated 9/25,5
42,v000012,VQ dated 9/28,6
43,v000012,VQ dated 9/29,7
44,v000012,VQ dated 10/5,8
45,v000012,VQ dated 10/19,9
46,v000013,VQ dated 8/15,0
47,v000013,VQ dated 8/30,1
48,v000013,VQ dated 9/5,2
49,v000013,VQ dated 9/6,3
50,v000013,VQ dated 9/8,4
51,v000013,VQ dated 9/25,5
52,v000013,VQ dated 9/28,6
53,v000013,VQ dated 9/29,7
54,v000013,VQ dated 10/5,8
55,v000013,VQ dated 10/19,9
56,v000013,"INAP, partial IW (5 in Pre-Admin.26)",99
57,v000014,No change,0
58,v000014,Change in VQ,1
59,v000014,"NA, partial IW (5 in Pre-Admin.26)",9
60,v000015,No advance letter sent,0
61,v000015,Advance letter sent,1
62,v000016,R requested no payment,0
63,v000016,Twenty dollars,20
64,v000016,Forty dollars,40
65,v000017,R requested no payment,0
66,v000017,Check,1
67,v000017,Cash,2
68,v000019,Yes,1
69,v000019,No,5
70,v000020,"Counted for Ann Arbor office, not sel",0
71,v000020,Flagged for verification,1
72,v000020,Verified OK,2
73,v000020,Verified with some discrepancies,3
74,v000020,Not verified - attempts to verify hal,4
75,v000020,Unable to verify,5
76,v000020,Verification limit met,6
77,v000021,Not evaluated,0
78,v000021,Flagged,1
79,v000021,Evaluated,2
80,v000021,Evaluation received in Ann Arbor offi,3
81,v000021,Cannot evaluate,4
82,v000022,Not a refusal conversion situation,0
83,v000022,Refusal conversion situation indicate,1
84,v000023,No persuasion letter sent,0
85,v000023,Persuasion letter sent,1
86,v000026,A. Too busy,1
87,v000026,B. Too personal,2
88,v000026,C. Not interested,3
89,v000026,D. Too old,4
90,v000026,E. Evasive,5
91,v000026,F. Gatekeeper,6
92,v000026,G. Not at home,7
93,v000026,"INAP, no persuasion letter sent (0,9",0
94,v000029,"Interview, complete",1
95,v000029,"Interview, partial",5
96,v000030,Released at start of the field period,1
97,v000031,English,1
98,v000032,Coversheet not missing,0
99,v000032,Missing coversheet,1
100,v000033,Blue,1
101,v000033,Yellow,2
102,v000033,Green - FTF type II updating,4
103,v000033,Missing coversheet (1 in Pre-Csheet.1,9
104,v000034,Business,1
105,v000034,Home,2
106,v000034,Both,3
107,v000034,Group headquarters,4
108,v000034,Cell phone,5
109,v000034,"Inap, assigned FTF mode",0
110,v000034,NA. Phone mode and coversheet missing,9
111,v000035,Yes,1
112,v000035,No,5
113,v000035,"Inap, 2,3,4,5,9 in Pre-Csheet.3. assi",0
114,v000036,Have other,1
115,v000036,Use this,2
116,v000036,"Inap, 5,9 in Pre-Csheet.4. 2,3,4,5,9",0
117,v000037,HU member,1
118,v000037,Neighbor,2
119,v000037,Apt. manager,3
120,v000037,Landlord,4
121,v000037,Observation,5
122,v000037,Other (specify),7
123,v000037,"Inap, assigned phone mode",0
124,v000037,NA. FTF and coversheet missing (1 in,9
125,v000038,Selection table A,1
126,v000038,Selection table B1,2
127,v000038,Selection table B2,3
128,v000038,Selection table C,4
129,v000038,Selection table D,5
130,v000038,Selection table E1,6
131,v000038,Selection table E2,7
132,v000038,Selection table F,8
133,v000038,Missing coversheet (1 in Pre-Csheet.1,9
134,v000041,1 adult male HHR,10
135,v000041,1 adult male HHR plus 1 other non-re,11
136,v000041,1 adult male HHR plus 2 or more non-,12
137,v000041,1 adult female HHR,20
138,v000041,1 adult female HHR plus 1 other non-,21
139,v000041,1 adult female HHR plus 2 or more no,22
140,v000041,1 married couple: no children or all,30
141,v000041,1 married couple plus 1 other relati,40
142,v000041,1 married couple plus 2 or more othe,50
143,v000041,1 married couple plus 1 other non-re,51
144,v000041,1 married couple plus 2 or more non-,52
145,v000041,1 married couple plus relatives and,55
146,v000041,1 male HHR plus 1 other relative,60
147,v000041,1 male HHR plus relatives and nonrel,65
148,v000041,1 male HHR plus 2 or more other rela,70
149,v000041,1 female HHR plus 1 other relative,80
150,v000041,1 female HHR plus relatives and non-,85
151,v000041,1 female HHR plus 2 or more other re,90
152,v000041,"Relatives of opposite sex, unclear w",95
153,v000043,Mobile home,1
154,v000043,Detached single family,2
155,v000043,Multi-family,3
156,v000043,Apartment house,4
157,v000043,Condo complex,5
158,v000043,Other (specify),7
159,v000043,"Inap, assigned phone mode",0
160,v000043,NA. missing coversheet (1 in Pre-Cshe,9
161,v000044,Yes,1
162,v000044,"No, but building is locked/ subdivisi",2
163,v000044,No,5
164,v000044,"Inap, assigned phone mode",0
165,v000044,NA. missing coversheet (1 in Pre-Cshe,9
166,v000045,Building manager or other Gatekeeper,1
167,v000045,Building manager/other Gatekeeper mus,2
168,v000045,Other (specify),7
169,v000045,"Inap, 5, 9 in Pre-Csheet.13. assigned",0
170,v000046,Yes,1
171,v000046,No,5
172,v000047,Marked,1
173,v000047,Not marked,5
174,v000047,"Inap, 5,9 in Pre-Csheet.15",0
175,v000048,Marked,1
176,v000048,Not marked,5
177,v000048,"Inap, 5,9 in Pre-Csheet.15",0
178,v000049,Marked,1
179,v000049,Not marked,5
180,v000049,"Inap, 5,9 in Pre-Csheet.15",0
181,v000050,Marked,1
182,v000050,Not marked,5
183,v000050,"Inap, 5,9 in Pre-Csheet.15",0
184,v000051,Marked,1
185,v000051,Not marked,5
186,v000051,"Inap, 5,9 in Pre-Csheet.15",0
187,v000052,Marked,1
188,v000052,Not marked,5
189,v000052,"Inap, 5,9 in Pre-Csheet.15",0
190,v000053,Marked,1
191,v000053,Not marked,5
192,v000053,"Inap, 5,9 in Pre-Csheet.15",0
193,v000054,Yes,1
194,v000054,No,5
195,v000055,None,0
196,v000055,One,1
197,v000055,Two or more,2
198,v000056,Yes,1
199,v000056,No,5
200,v000056,"Inap, 5,9 in Pre-Csheet.15",0
201,v000057,"Yes, some resistance identified",1
202,v000057,No resistance identified,5
203,v000058,Marked,1
204,v000058,Not marked,5
205,v000058,"Inap, 1 in Pre-CSheet.25. 5,9 in Pre-",0
206,v000059,Marked,1
207,v000059,Not marked,5
208,v000059,"Inap, 1 in Pre-CSheet.25. 5,9 in Pre-",0
209,v000060,Marked,1
210,v000060,Not marked,5
211,v000060,"Inap, 1 in Pre-CSheet.25. 5,9 in Pre-",0
212,v000061,Marked,1
213,v000061,Not marked,5
214,v000061,"Inap, 1 in Pre-CSheet.25. 5,9 in Pre-",0
215,v000062,Marked,1
216,v000062,Not marked,5
217,v000062,"Inap, 1 in Pre-CSheet.25. 5,9 in Pre-",0
218,v000063,Marked,1
219,v000063,Not marked,5
