"","id","label","value"
"1","v081001","Pre-election only","0"
"2","v081001","Pre-election and Post-election","1"
"3","v081101","Male respondent selected","1"
"4","v081101","Female respondent selected","2"
"5","v081102","White","1"
"6","v081102","Black/African-American","2"
"7","v081102","White and black","3"
"8","v081102","Other race","4"
"9","v081102","White and another race","5"
"10","v081102","Black and another race","6"
"11","v081102","White, black and another race","7"
"12","v081102","Refused in household listing","-9"
"13","v081102","NA (blank recorded)","-4"
"14","v081103","Latino","1"
"15","v081103","Not Latino","2"
"16","v081103","Refused in household listing","-9"
"17","v081103","NA (blank recorded)","-4"
"18","v081103a","Latino - race given as white","11"
"19","v081103a","Latino - race given as black","12"
"20","v081103a","Latino - race given as other","14"
"21","v081103a","Latino - race given as white and other","15"
"22","v081103a","Latino - race given as black and other","16"
"23","v081103a","Not Latino - race given as white","21"
"24","v081103a","Not Latino - race given as black'","22"
"25","v081103a","Not Latino - race given as white and black","23"
"26","v081103a","Not Latino - race given as other","24"
"27","v081103a","Not Latino - race given as white and other","25"
"28","v081103a","Not Latino - race given as black and other","26"
"29","v081103a","Not Latino - race given as black, white, and other","27"
"30","v081103a","Refused Latino status and race in household listing","-99"
"31","v081103a","Refused Latino status but gave race as white","-91"
"32","v081103a","NA for Latino status and race (blank recorded)","-44"
"33","v081103a","Non-Latino status given but refused race in household listing","-29"
"34","v081103a","Latino status given but refused Race in household listing","-19"
"35","v081105","Informant","1"
"36","v081105","Spouse/partner","2"
"37","v081105","Relative","3"
"38","v081105","Non-relative","4"
"39","v081105","Refused in household listing","-9"
"40","v081106","R IS 1st ADULT IN HOUSEHOLD LISTING","1"
"41","v081106","R IS 2nd ADULT IN HOUSEHOLD LISTING","2"
"42","v081106","R IS 3rd ADULT IN HOUSEHOLD LISTING","3"
"43","v081106","R IS 4th ADULT IN HOUSEHOLD LISTING","4"
"44","v081106","R IS 5th ADULT IN HOUSEHOLD LISTING","5"
"45","v081106","R IS 7th ADULT IN HOUSEHOLD LISTING","7"
"46","v081107","01. 1 total persons in HH","1"
"47","v081107","02. 2 total persons in HH","2"
"48","v081107","03. 3 total persons in HH","3"
"49","v081107","04. 4 total persons in HH","4"
"50","v081107","05. 5 total persons in HH","5"
"51","v081107","06. 6 total persons in HH","6"
"52","v081107","07. 7 total persons in HH","7"
"53","v081107","08. 8 total persons in HH","8"
"54","v081107","09. 9 total persons in HH","9"
"55","v081107","10 total persons in HH","10"
"56","v081107","11 total persons in HH","11"
"57","v081107","Refused (refused number of children in HH)","-9"
"58","v081107","NA (blank for number of children in HH)","-4"
"59","v081108","01. 1 total adults in HH","1"
"60","v081108","02. 2 total adults in HH","2"
"61","v081108","03. 3 total adults in HH","3"
"62","v081108","04. 4 total adults in HH","4"
"63","v081108","05. 5 total adults in HH","5"
"64","v081108","06. 6 total adults in HH","6"
"65","v081108","07. 7 total adults in HH","7"
"66","v081108","08. 8 total adults in HH","8"
"67","v081108a","01. 1 total citizen (eligible) adults in HH","1"
"68","v081108a","02. 2 total citizen (eligible) adults in HH","2"
"69","v081108a","03. 3 total citizen (eligible) adults in HH","3"
"70","v081108a","04. 4 total citizen (eligible) adults in HH","4"
"71","v081108a","05. 5 total citizen (eligible) adults in HH","5"
"72","v081108a","06. 6 total citizen (eligible) adults in HH","6"
"73","v081108a","07. 7 total citizen (eligible) adults in HH","7"
"74","v081108a","08. 8 total citizen (eligible) adults in HH","8"
"75","v081108b","00. 0 total noncitizen (ineligible) adults in HH","0"
"76","v081108b","01. 1 total noncitizen (ineligible) adults in HH","1"
"77","v081108b","02. 2 total noncitizen (ineligible) adults in HH","2"
"78","v081108b","03. 3 total noncitizen (ineligible) adults in HH","3"
"79","v081108b","04. 4 total noncitizen (ineligible) adults in HH","4"
"80","v081108b","05. 5 total noncitizen (ineligible) adults in HH","5"
"81","v081108b","06. 6 total noncitizen (ineligible) adults in HH","6"
"82","v081108b","07. 7 total noncitizen (ineligible) adults in HH","7"
"83","v081108b","08. 8 total noncitizen (ineligible) adults in HH","8"
"84","v081108c","0 total female adults in HH","0"
"85","v081108c","1 total female adults in HH","1"
"86","v081108c","2 total female adults in HH","2"
"87","v081108c","3 total female adults in HH","3"
"88","v081108c","4 total female adults in HH","4"
"89","v081108c","5 total female adults in HH","5"
"90","v081108c","6 total female adults in HH","6"
"91","v081108d","0 total male adults in HH","0"
"92","v081108d","1 total male adults in HH","1"
"93","v081108d","2 total male adults in HH","2"
"94","v081108d","3 total male adults in HH","3"
"95","v081108d","4 total male adults in HH","4"
"96","v081108d","5 total male adults in HH","5"
"97","v081108d","6 total male adults in HH","6"
"98","v081108e","0 total Latino adults in HH","0"
"99","v081108e","1 total Latino adults in HH","1"
"100","v081108e","2 total Latino adults in HH","2"
"101","v081108e","3 total Latino adults in HH","3"
"102","v081108e","4 total Latino adults in HH","4"
"103","v081108e","5 total Latino adults in HH","5"
"104","v081108e","6 total Latino adults in HH","6"
"105","v081108e","Refused Latino status for one or more members of","-9"
"106","v081108e","NA (blank recorded for Latino status of one or more members","-4"
"107","v081108f","0 total black adults in HH","0"
"108","v081108f","1 total black adults in HH","1"
"109","v081108f","2 total black adults in HH","2"
"110","v081108f","3 total black adults in HH","3"
"111","v081108f","4 total black adults in HH","4"
"112","v081108f","5 total black adults in HH","5"
"113","v081108f","6 total black adults in HH","6"
"114","v081108f","7 total black adults in HH","7"
"115","v081108f","Refused race for one or more members of household listing","-9"
"116","v081108f","NA (blank recorded for race of one or more members","-4"
"117","v081108g","0 total white adults in HH","0"
"118","v081108g","1 total white adults in HH","1"
"119","v081108g","2 total white adults in HH","2"
"120","v081108g","3 total white adults in HH","3"
"121","v081108g","4 total white adults in HH","4"
"122","v081108g","5 total white adults in HH","5"
"123","v081108g","6 total white adults in HH","6"
"124","v081108g","7 total white adults in HH","7"
"125","v081108g","Refused race for one or more members of household listing","-9"
"126","v081108g","NA (blank recorded for race of one or more members","-4"
"127","v081108h","0 total other/mixed race adults in HH","0"
"128","v081108h","1 total other/mixed race adults in HH","1"
"129","v081108h","2 total other/mixed race adults in HH","2"
"130","v081108h","3 total other/mixed race adults in HH","3"
"131","v081108h","4 total other/mixed race adults in HH","4"
"132","v081108h","5 total other/mixed race adults in HH","5"
"133","v081108h","6 total other/mixed race adults in HH","6"
"134","v081108h","7 total other/mixed race adults in HH","7"
"135","v081108h","Refused race for one or more members of household listing","-9"
"136","v081108h","NA (blank recorded for race of one or more members","-4"
"137","v081109","Refused HHList.9a","-9"
"138","v081109","NA in HHList.9a","-4"
"139","v081109","0 total children (not 18 by OCT30)","0"
"140","v081109","1 total children (not 18 by OCT30)","1"
"141","v081109","2 total children (not 18 by OCT30)","2"
"142","v081109","3 total children (not 18 by OCT30)","3"
"143","v081109","4 total children (not 18 by OCT30)","4"
"144","v081109","5 total children (not 18 by OCT30)","5"
"145","v081109","6 total children (not 18 by OCT30)","6"
"146","v081109","7 total children (not 18 by OCT30)","7"
"147","v081109a","Refused","-9"
"148","v081109a","NA (blank recorded)","-4"
"149","v081109a","0 total children under 17","0"
"150","v081109a","1 total children under 17","1"
"151","v081109a","2 total children under 17","2"
"152","v081109a","3 total children under 17","3"
"153","v081109a","4 total children under 17","4"
"154","v081109a","5 total children under 17","5"
"155","v081109a","6 total children under 17","6"
"156","v081109a","7 total children under 17","7"
"157","v081109b","No 17-year-old children (not 18 by Oct30)","0"
"158","v081109b","One 17-year-old child (not 18 by Oct 30)","1"
"159","v081110","1 adult male HHR","10"
"160","v081110","1 adult male HHR plus 1 adult non-relative","11"
"161","v081110","1 adult male HHR plus 2 or more adult non-relatives","12"
"162","v081110","1 adult female HHR","20"
"163","v081110","1 adult female HHR plus 1 adult non-relative","21"
"164","v081110","1 adult female HHR plus 2 or more adult non-relatives","22"
"165","v081110","1 married couple: no children or all children living at","30"
"166","v081110","1 married couple plus 1 other adult relative","40"
"167","v081110","1 married couple plus 2 or more other adult relatives","50"
"168","v081110","1 married couple plus 1 adult non-relative","51"
"169","v081110","1 married couple plus 2 or more adult non-relatives","52"
"170","v081110","1 married couple plus relative(s) and non-relative(s)","55"
"171","v081110","1 adult male HHR plus 1 adult relative","60"
"172","v081110","1 adult male HHR plus 2 or more adult relatives","70"
"173","v081110","1 adult male HHR plus relative(s) and non-relative(s)","75"
"174","v081110","1 adult female HHR plus 1 adult relative","80"
"175","v081110","1 adult female HHR plus 2 or more relatives","90"
"176","v081110","1 adult female HHR plus relative(s) and non-relative(s)","95"
"177","v081111a","Male","1"
"178","v081111a","Female","2"
"179","v081111b","White","1"
"180","v081111b","Black/African-American","2"
"181","v081111b","White and black","3"
"182","v081111b","Other race","4"
"183","v081111b","White and another race","5"
"184","v081111b","Black and another race","6"
"185","v081111b","White, black and another race","7"
"186","v081111b","Refused","-9"
"187","v081111b","NA (blank recorded)","-4"
"188","v081111c","Latino","1"
"189","v081111c","Not Latino","2"
"190","v081111c","Refused","-9"
"191","v081111c","NA (blank recorded)","-4"
"192","v081111d","Latino - race given as white","11"
"193","v081111d","Latino - race given as black","12"
"194","v081111d","Latino - race given as other","14"
"195","v081111d","Latino - race given as white and other","15"
"196","v081111d","Latino - race given as black and other","16"
"197","v081111d","Not Latino - race given as white","21"
"198","v081111d","Not Latino - race given as black","22"
"199","v081111d","Not Latino - race given as white and black","23"
"200","v081111d","Not Latino - race given as other","24"
"201","v081111d","Not Latino - race given as white and other","25"
"202","v081111d","Not Latino - race given as black and other","26"
"203","v081111d","Not Latino - race given as black, white, and other","27"
"204","v081111d","Refused Latino status and race in household listing","-99"
"205","v081111d","Refused Latino status but gave race as white","-91"
"206","v081111d","NA for Latino status and race (blank recorded)","-44"
"207","v081111d","Non-Latino status given but refused race in household listing","-29"
"208","v081111d","Latino status given but refused Race in household listing","-19"
"209","v081111e","Not a citizen","0"
"210","v081111e","Citizen","1"
"211","v081111g","Yes, 18 by Oct 30, 2008","1"
"212","v081111g","No, not 18 by Oct 30, 2008","2"
"213","v081111g","INAP, age is 18 or older in HHList.11f","-1"
"214","v081111h","01. Informant","1"
"215","v081112a","Male","1"
"216","v081112a","Female","2"
"217","v081112a","INAP, no additional person","-1"
"218","v081112b","White","1"
"219","v081112b","Black/African-American","2"
"220","v081112b","White and black","3"
"221","v081112b","Other race","4"
"222","v081112b","White and another race","5"
"223","v081112b","Black and another race","6"
"224","v081112b","White, black and another race","7"
"225","v081112b","Refused","-9"
"226","v081112b","INAP, no additional person","-1"
"227","v081112c","Latino","1"
"228","v081112c","Not Latino","2"
"229","v081112c","Refused","-9"
"230","v081112c","INAP, no additional person","-1"
"231","v081112d","Latino - race given as white","11"
"232","v081112d","Latino - race given as black","12"
"233","v081112d","Latino - race given as other","14"
"234","v081112d","Latino - race given as white and other","15"
"235","v081112d","Latino - race given as black and other","16"
"236","v081112d","Not Latino - race given as white","21"
"237","v081112d","Not Latino - race given as black","22"
"238","v081112d","Not Latino - race given as white and black","23"
"239","v081112d","Not Latino - race given as other","24"
"240","v081112d","Not Latino - race given as white and other","25"
"241","v081112d","Not Latino - race given as black and other","26"
"242","v081112d","Not Latino - race given as black, white, and other","27"
"243","v081112d","Refused Latino status and race in household listing","-99"
"244","v081112d","Refused Latino status but gave race as white","-91"
"245","v081112d","Non-Latino status given but refused race in household listing","-29"
"246","v081112d","Latino status given but refused Race in household listing","-19"
"247","v081112d","INAP, no additional person","-1"
"248","v081112e","Not a citizen","0"
"249","v081112e","Citizen","1"
"250","v081112e","INAP, no additional person","-1"
"251","v081112g","Yes, 18 by Oct 30, 2008","1"
"252","v081112g","No, not 18 by Oct 30, 2008","2"
