Number,Name
CASEID,CASE IDENTIFICATION NUMBER
version,
v080001,ID.1. CASE ID
v080101,WT.1. CROSS-SECTION SAMPLE WEIGHT - PRE-ELECTION: centered
v080101a,WT.1a. CROSS-SECTION SAMPLE WEIGHT - PRE-ELECTION
v080102,WT.2. CROSS-SECTION SAMPLE WEIGHT - POST-ELECTION: centered
v080102a,WT.2a. CROSS-SECTION SAMPLE WEIGHT - POST-ELECTION
v080103,WT.3. HOUSEHOLD WEIGHT: Household post-stratified
v081001,STUDY.1. Waves completed by respondent
v081101,HHList.1. Respondent: gender
v081102,HHList.2. Respondent: race
v081103,HHList.3. Respondent: Latino status
v081103a,HHList.3a. Respondent: race and Latino status
v081104,HHList.4. Respondent: age
v081105,HHList.5. RESTRICTED: Respondent: relationship to informant
v081106,HHList.6. Respondent: adult person number
v081107,HHList.7. TOTAL IN HH: PERSONS (ADULTS AND CHILDREN)
v081108,HHList.8. TOTAL IN HH: ADULTS (18 BY OCT30)
v081108a,HHList.8a. TOTAL IN HH: CITIZEN ADULTS (18 BY OCT30)
v081108b,HHList.8b. TOTAL IN HH: NONCITIZEN ADULTS (18 BY OCT30)
v081108c,HHList.8c. TOTAL IN HH: FEMALE ADULTS (18 BY OCT30)
v081108d,HHList.8d. TOTAL IN HH: MALE ADULTS (18 BY OCT30)
v081108e,HHList.8e. TOTAL IN HH: LATINO ADULTS (18 BY OCT30)
v081108f,HHList.8f. TOTAL IN HH: BLACK ADULTS (18 BY OCT30)
v081108g,HHList.8g. TOTAL IN HH: WHITE ADULTS (18 BY OCT30)
v081108h,HHList.8h. TOTAL IN HH: MIXED/OTH RACE ADULTS (18 BY OCT30)
v081109,HHList.9. TOTAL IN HH: CHILDREN UNDER 18 (NOT 18 BY OCT30)
v081109a,HHList.9a. TOTAL IN HH: CHILDREN UNDER 17
v081109b,"HHList.9b. TOTAL IN HH: CHLDREN 17 YRS OLD, NOT 18 BY OCT30"
v081110,HHList.10. HOUSEHOLD COMPOSITION
v081111a,HHList.11a. PERSON #1: gender
v081111b,HHList.11b. PERSON #1: race
v081111c,HHList.11c. PERSON #1: Latino
v081111d,HHList.11d. PERSON #1: race and Latino status
v081111e,HHList.11e. PERSON #1: citizen
v081111f,HHList.11f. PERSON #1: age
v081111g,"HHList.11g. PERSON #1: 18 by October 30, 2008"
v081111h,HHList.11h. RESTRICTED:PERSON #1: relationship to informant
v081112a,HHList.12a. PERSON #2: gender
v081112b,HHList.12b. PERSON #2: race
v081112c,HHList.12c. PERSON #2: Latino
v081112d,HHList.12d. PERSON #2: race and Latino status
v081112e,HHList.12e. PERSON #2: citizen
v081112f,HHList.12f. PERSON #2: age
v081112g,"HHList.12g. PERSON #2: 18 by October 30, 2008"
v081112h,HHList.12h. RESTRICTED:PERSON #2: relationship to informant
v081113a,HHList.13a. PERSON #3: gender
v081113b,HHList.13b. PERSON #3: race
v081113c,HHList.13c. PERSON #3: Latino
v081113d,HHList.13d. PERSON #3: race and Latino status
v081113e,HHList.13e. PERSON #3: citizen
v081113f,HHList.13f. PERSON #3: age
v081113g,"HHList.13g. PERSON #3: 18 by October 30, 2008"
v081113h,HHList.13h. RESTRICTED:PERSON #3: relationship to informant
v081114a,HHList.14a. PERSON #4: gender
v081114b,HHList.14b. PERSON #4: race
v081114c,HHList.14c. PERSON #4: Latino
v081114d,HHList.14d. PERSON #4: race and Latino status
v081114e,HHList.14e. PERSON #4: citizen
v081114f,HHList.14f. PERSON #4: age
v081114g,"HHList.14g. PERSON #4: 18 by October 30, 2008"
v081114h,HHList.14h. RESTRICTED:PERSON #4: relationship to informant
v081115a,HHList.15a. PERSON #5: gender
v081115b,HHList.15b. PERSON #5: race
v081115c,HHList.15c. PERSON #5: Latino
v081115d,HHList.15d. PERSON #5: race and Latino status
