"","id","label","value"
"1","mode","FTF (face-to-face) mode","1"
"2","mode","Internet mode","2"
"12","strata_ftf","(Does not apply)","."
"11","ftf_oversample","No Oversample","0"
"21","ftf_oversample","Hispanic Oversample","1"
"3","ftf_oversample","AA Oversample","2"
"4","ftf_oversample","Both Hispanic and AA Oversample","3"
"5","ftf_oversample","Inapplicable","-1"
"13","gend_gendobs","Male","1"
"22","gend_gendobs","Female","2"
"31","gend_gendobs","Inapplicable","-1"
"14","gender_respondent","Male","1"
"23","gender_respondent","Female","2"
"15","interest_attention","Always","1"
"24","interest_attention","Most of the time","2"
"32","interest_attention","About half the time","3"
"41","interest_attention","Some of the time","4"
"51","interest_attention","Never","5"
"6","interest_attention","Refused","-9"
"7","interest_attention","Don't know","-8"
"16","interest_following","Very much interested","1"
"25","interest_following","Somewhat interested","2"
"33","interest_following","Not much interested","3"
"42","interest_following","Refused","-9"
"52","interest_following","Don't know","-8"
"17","interest_wherevote","Yes","1"
"26","interest_wherevote","No","2"
"34","interest_wherevote","Vote by mail only {VOL}","3"
"43","interest_wherevote","Refused","-9"
"53","interest_wherevote","Don't know","-8"
"18","interest_voted2008","Yes, voted","1"
"27","interest_voted2008","No, didn't vote","2"
"35","interest_voted2008","Refused","-9"
"44","interest_voted2008","Don't know","-8"
"19","interest_whovote2008","Barack Obama","1"
"28","interest_whovote2008","John McCain","2"
"36","interest_whovote2008","Other {SPECIFY}","5"
"45","interest_whovote2008","Refused","-9"
"54","interest_whovote2008","Don't know","-8"
"61","interest_whovote2008","Inapplicable","-1"
"110","prmedia_useinet","Yes","1"
"29","prmedia_useinet","No","2"
"37","prmedia_useinet","Don't know","-8"
"46","prmedia_useinet","Inapplicable","-1"
"111","prmedia_wkinews","None","0"
"210","prmedia_wkinews","One day","1"
"38","prmedia_wkinews","Two days","2"
"47","prmedia_wkinews","Three days","3"
"55","prmedia_wkinews","Four days","4"
"62","prmedia_wkinews","Five days","5"
"71","prmedia_wkinews","Six days","6"
"8","prmedia_wkinews","Seven days","7"
"9","prmedia_wkinews","Refused","-9"
"10","prmedia_wkinews","Don't know","-8"
"112","prmedia_wkinews","Error","-4"
"121","prmedia_wkinews","Inapplicable","-1"
"113","prmedia_atinews","A great deal","1"
"211","prmedia_atinews","A lot","2"
"39","prmedia_atinews","A moderate amount","3"
"48","prmedia_atinews","A little","4"
"56","prmedia_atinews","None at all","5"
"63","prmedia_atinews","Inapplicable","-1"
"114","prmedia_wktvnws","None","0"
"212","prmedia_wktvnws","One day","1"
"310","prmedia_wktvnws","Two days","2"
"49","prmedia_wktvnws","Three days","3"
"57","prmedia_wktvnws","Four days","4"
"64","prmedia_wktvnws","Five days","5"
"72","prmedia_wktvnws","Six days","6"
"81","prmedia_wktvnws","Seven days","7"
"91","prmedia_wktvnws","Refused","-9"
"101","prmedia_wktvnws","Don't know","-8"
"115","prmedia_wktvnws","Error","-4"
"116","prmedia_attvnews","A great deal","1"
"213","prmedia_attvnews","A lot","2"
"311","prmedia_attvnews","A moderate amount","3"
"410","prmedia_attvnews","A little","4"
"58","prmedia_attvnews","None at all","5"
"65","prmedia_attvnews","Refused","-9"
"73","prmedia_attvnews","Don't know","-8"
"82","prmedia_attvnews","Inapplicable","-1"
"117","prmedia_wkpaprnws","None","0"
"214","prmedia_wkpaprnws","One day","1"
"312","prmedia_wkpaprnws","Two days","2"
"411","prmedia_wkpaprnws","Three days","3"
"59","prmedia_wkpaprnws","Four days","4"
"66","prmedia_wkpaprnws","Five days","5"
"74","prmedia_wkpaprnws","Six days","6"
"83","prmedia_wkpaprnws","Seven days","7"
"92","prmedia_wkpaprnws","Refused","-9"
"102","prmedia_wkpaprnws","Don't know","-8"
"118","prmedia_wkpaprnws","Error","-4"
"119","prmedia_atpprnews","A great deal","1"
"215","prmedia_atpprnews","A lot","2"
"313","prmedia_atpprnews","A moderate amount","3"
"412","prmedia_atpprnews","A little","4"
"510","prmedia_atpprnews","None at all","5"
"67","prmedia_atpprnews","Inapplicable","-1"
"120","prmedia_wkrdnws","None","0"
"216","prmedia_wkrdnws","One day","1"
"314","prmedia_wkrdnws","Two days","2"
"413","prmedia_wkrdnws","Three days","3"
"511","prmedia_wkrdnws","Four days","4"
"68","prmedia_wkrdnws","Five days","5"
"75","prmedia_wkrdnws","Six days","6"
"84","prmedia_wkrdnws","Seven days","7"
"93","prmedia_wkrdnws","Refused","-9"
"103","prmedia_wkrdnws","Don't know","-8"
"1110","prmedia_wkrdnws","Error","-4"
"122","prmedia_atrdnews","A great deal","1"
"217","prmedia_atrdnews","A lot","2"
"315","prmedia_atrdnews","A moderate amount","3"
"414","prmedia_atrdnews","A little","4"
"512","prmedia_atrdnews","None at all","5"
"69","prmedia_atrdnews","Refused","-9"
"76","prmedia_atrdnews","Error","-4"
"85","prmedia_atrdnews","Inapplicable","-1"
"123","prevote_regist_addr","Registered at this address","1"
"218","prevote_regist_addr","Registered at a different address","2"
"316","prevote_regist_addr","Not currently registered","3"
"415","prevote_regist_addr","Refused","-9"
"513","prevote_regist_addr","Don't know","-8"
"610","prevote_regist_addr","Inapplicable","-1"
"124","prevote_regist_noaddr","Registered to vote","1"
"219","prevote_regist_noaddr","Not currently registered","2"
"317","prevote_regist_noaddr","Inapplicable","-1"
"125","prevote_reg","City and state not identified in registration address fields (all blank)","0"
"220","prevote_reg","City and state identified in correct fields","1"
"318","prevote_reg","City and state identifiable; some recording of address information in incorrect fields","2"
"416","prevote_reg","Missing: R entered DK/RF for different address","-2"
"514","prevote_reg","Inapplicable","-1"
"126","prevote_reg_recordstate","Neither state nor city identified in registration address fields (all blank)","0"
"221","prevote_reg_recordstate","State of registration recorded in correct (state) field","1"
"319","prevote_reg_recordstate","State of registration not recorded in correct field; identifiable as same state as state of residence","2"
"417","prevote_reg_recordstate","State of registration not recorded in correct field; identifiable as different from state of residence","3"
"515","prevote_reg_recordstate","Missing: R entered DK/RF for different address","-2"
"611","prevote_reg_recordstate","Inapplicable","-1"
"127","prevote_reg_recordcity","Neither state nor city identified in registration address fields (all blank)","0"
"222","prevote_reg_recordcity","City of registration recorded in correct (city) field","1"
"320","prevote_reg_recordcity","City of registration not recorded in correct field","2"
"418","prevote_reg_recordcity","Missing: R entered DK/RF for different address","-2"
"516","prevote_reg_recordcity","Inapplicable","-1"
"128","prevote_reg_samestate","Not same state as state of residence","0"
"223","prevote_reg_samestate","Same state as state of residence","1"
"321","prevote_reg_samestate","Inapplicable","-1"
"129","prevote_regincnty","Yes, registered in","1"
"224","prevote_regincnty","No, registered in other county","2"
"322","prevote_regincnty","is incorrect {VOL} {SPECIFY}","5"
