Number,Name
CASEID,Case Identification Number (Pre Case ID)
version,Study.1. Dataset version
dsetid,Study.1. Dataset ID number
v1,Study.3. 2004 Pre Case ID
v2,Study.4. 2004 Post Case ID
v101,Study.5. Pre-election post-stratified sample weight
v102,Study.6. Post-election post-stratified sample weight
v103,Study.7. Sampling error code
v103a,Sampling Error Stratum Code
v103b,Sampling Error Half-Sample Code
v1001,Study.8. Pre only or pre and post interviews
v1101,HHListing.1. HH listing summary: number of persons in HH
v1102,HHListing.2. HH listing summary: number of adults in HH
v1102a,HHListing.2a. HH listing summary: no. eligible adults in HH
v1102b,HHListing.2b. HH listing summary:no. ineligible adults in HH
v1102c,HHListing.2c. HH listing summary: no. female adults in HH
v1103,HHListing.3. HH listing summary: number of children in HH
v1104,HHListing.4. HH listing summary: no. female children in HH
v1105,HHListing.5. HH listing summary: no. children under 5 in HH
v1106,HHListing.6. HH listing summary: no. children age 5-9 in HH
v1107,HHListing.7. HH listing summary:no. children age 10-13 in HH
v1108,HHListing.8. HH listing summary:no. children age 14-17 in HH
v1109,HHListing.9. Respondent person number in HH listing
v1109a,HHListing.9a. Respondent gender
v1109b,HHListing.9b. Respondent relationship to informant
v1109c,HHListing.9c. Respondent's number of children in HH
v1109d,HHListing.9d. Respondent's number of female children in HH
v1110,HHListing.10. Household composition
v1111a,HHListing.11a. 1st HH adult - age
v1111b,HHListing.11b. 1st HH adult - gender
v1112a,HHListing.12a. 2nd HH adult age
v1112b,HHListing.12b. 2nd HH adult gender
v1113a,HHListing.13a. 3rd HH adult age
v1113b,HHListing.13b. 3rd HH adult gender
v1114a,HHListing.14a. 4th HH adult age
v1114b,HHListing.14b. 4th HH adult gender
v1115a,HHListing.15a. 5th HH adult age
v1115b,HHListing.15c. 5th HH adult gender
v1116a,HHListing.16a. 6th HH adult age
v1116b,HHListing.16b. 6th HH adult gender
v1201,Sampling.1. State name
v1201a,Sampling.1a. Postal abbreviation of state
v1202,Sampling.2. FIPS state code
v1203,Sampling.3. ICPSR state code
v1204,Sampling.4. Congressional District number
v1204a,Sampling.4a. State postal abbrev and congr district number
v1204b,Sampling.4b. State FIPS code and congr district number
v1204c,Sampling.4c. State ICPSR code and congr district number
v1205,Sampling.5. Census region
v1206,Sampling.6. Primary area (PSU) number
v1212,Sampling.12. Census MSA 1990
v1213,Sampling.13. Census Urban/Rural classification
v2001,PreAdmin.1. Form of interview
v2002,PreAdmin.2. Pre IW beginning month
v2003,PreAdmin.3. Pre IW beginning day
v2004,PreAdmin.4. Pre IW beginning date MMDD
v2005,PreAdmin.5. Pre IW beginning version of instrument
v2006,PreAdmin.6. Pre IW ending month
v2007,PreAdmin.7. Pre IW ending day
v2008,PreAdmin.8. Pre IW ending date MMDD
v2009,PreAdmin.9. Pre IW ending version of instrument
v2010a,PreAdmin.10a. No. days before election beginning IW date
v2010b,PreAdmin.10b. No. days before election ending IW date
