,id,label,value
1,v041001,Pre-election interview only,0
2,v041001,Both Pre-election and Post-election interviews,1
3,v041101,One person in HH,1
4,v041101,Two persons in HH,2
5,v041101,Three persons in HH,3
6,v041101,Four persons in HH,4
7,v041101,Five persons in HH,5
8,v041101,Six persons in HH,6
9,v041101,Seven persons in HH,7
10,v041101,Eight persons in HH,8
11,v041101,Nine persons in HH,9
12,v041102,One adult in HH,1
13,v041102,Two adults in HH,2
14,v041102,Three adults in HH,3
15,v041102,Four adults in HH,4
16,v041102,Five adults in HH,5
17,v041102,Six adults in HH,6
18,v041102a,One eligible adult in HH,1
19,v041102a,Two eligible adults in HH,2
20,v041102a,Three eligible adults in HH,3
21,v041102a,Four eligible adults in HH,4
22,v041102a,Five eligible adults in HH,5
23,v041102a,Six eligible adults in HH,6
24,v041102b,No ineligible adult in HH,0
25,v041102b,One ineligible adult in HH,1
26,v041102b,Two ineligible adults in HH,2
27,v041102b,Three ineligible adults in HH,3
28,v041102b,Four ineligible adults in HH,4
29,v041102c,No female adult in HH,0
30,v041102c,One female adult in HH,1
31,v041102c,Two female adults in HH,2
32,v041102c,Three female adults in HH,3
33,v041102c,Four female adults in HH,4
34,v041103,No children in HH,0
35,v041103,One child in HH,1
36,v041103,Two children in HH,2
37,v041103,Three children in HH,3
38,v041103,Four children in HH,4
39,v041103,Five children in HH,5
40,v041103,Six children in HH,6
41,v041103,Seven children in HH,7
42,v041104,No female children in HH,0
43,v041104,One female child in HH,1
44,v041104,Two female children in HH,2
45,v041104,Three female children in HH,3
46,v041104,Four female children in HH,4
47,v041104,Five female children in HH,5
48,v041104,Six female children in HH,6
49,v041104,Seven female children in HH,7
50,v041105,No child in HH under 5 years old,0
51,v041105,One child in HH under 5 years old,1
52,v041105,Two children in HH under 5 years old,2
53,v041105,Three children in HH under 5 years old,3
54,v041106,No child in HH age 5-9,0
55,v041106,One child in HH age 5-9,1
56,v041106,Two children in HH age 5-9,2
57,v041106,Three children in HH age 5-9,3
58,v041107,No child in HH age 10-13,0
59,v041107,One child in HH age 10-13,1
60,v041107,Two children in HH age 10-13,2
61,v041107,Three children in HH age 10-13,3
62,v041107,Four children in HH age 10-13,4
63,v041108,No child in HH age 14-17,0
64,v041108,One child in HH age 14-17,1
65,v041108,Two children in HH age 14-17,2
66,v041108,Three children in HH age 14-17,3
67,v041109,R is person number 1 (1st person in HH listing),1
68,v041109,R is person number 2 (2nd person in HH listing),2
69,v041109,R is person number 3 (3rd person in HH listing),3
70,v041109,R is person number 4 (4th person in HH listing),4
